,ch1
798,100
799,100
800,100
801,106
802,100
803,106
804,106
805,106
806,106
807,110
808,110
809,110
810,113
811,113
812,113
813,113
814,117
815,117
816,117
817,117
818,117
819,117
820,123
821,123
822,123
823,123
824,127
825,127
826,127
827,128
828,128
829,128
830,128
831,132
832,132
833,132
834,132
835,138
836,138
837,138
838,138
839,138
840,138
841,142
842,142
843,145
844,145
845,145
846,145
847,149
848,149
849,149
850,155
851,155
852,155
853,155
854,155
855,155
856,159
857,159
858,160
859,160
860,160
861,160
862,160
863,164
864,164
865,170
866,170
867,170
868,170
869,170
870,170
871,174
872,174
873,177
874,177
875,177
876,177
877,181
878,181
879,181
880,187
881,187
882,187
883,187
884,191
885,191
886,191
887,191
888,192
889,192
890,192
891,192
892,196
893,196
894,196
895,196
896,202
897,202
898,202
899,206
900,206
901,206
902,206
903,209
904,209
905,209
906,209
907,213
908,213
909,219
910,213
911,219
912,219
913,223
914,219
915,223
916,224
917,224
918,224
919,224
920,228
921,228
922,234
923,234
924,234
925,234
926,238
927,238
928,238
929,238
930,241
931,241
932,241
933,245
934,245
935,245
936,245
937,251
938,251
939,255
940,255
941,255
942,255
943,256
944,256
945,256
946,260
947,260
948,260
949,260
950,266
951,266
952,266
953,270
954,270
955,270
956,273
957,273
958,277
959,277
960,277
961,283
962,283
963,283
964,283
965,287
966,287
967,287
968,287
969,288
970,288
971,292
972,292
973,292
974,292
975,292
976,298
977,298
978,298
979,302
980,305
981,305
982,305
983,305
984,309
985,309
986,309
987,309
988,315
989,315
990,319
991,319
992,319
993,319
994,320
995,320
996,320
997,324
998,324
999,324
1000,324
1001,330
1002,330
1003,334
1004,334
1005,334
1006,334
1007,337
1008,337
1009,341
1010,341
1011,341
1012,347
1013,347
1014,351
1015,351
1016,351
1017,351
1018,352
1019,352
1020,352
1021,352
1022,356
1023,356
1024,362
1025,362
1026,362
1027,362
1028,366
1029,366
1030,366
1031,369
1032,369
1033,373
1034,373
1035,373
1036,373
1037,379
1038,379
1039,383
1040,383
1041,383
1042,383
1043,384
1044,384
1045,388
1046,388
1047,388
1048,394
1049,394
1050,394
1051,394
1052,394
1053,394
1054,398
1055,398
1056,398
1057,401
1058,401
1059,401
1060,401
1061,405
1062,405
1063,405
1064,405
1065,411
1066,411
1067,415
1068,415
1069,415
1070,415
1071,416
1072,416
1073,416
1074,420
1075,420
1076,426
1077,426
1078,426
1079,426
1080,430
1081,430
1082,433
1083,433
1084,433
1085,433
1086,437
1087,437
1088,443
1089,443
1090,443
1091,447
1092,447
1093,447
1094,447
1095,448
1096,448
1097,452
1098,452
1099,452
1100,452
1101,458
1102,458
1103,458
1104,458
1105,462
1106,462
1107,465
1108,465
1109,465
1110,469
1111,469
1112,469
1113,469
1114,475
1115,475
1116,479
1117,479
1118,480
1119,480
1120,480
1121,480
1122,484
1123,484
1124,484
1125,490
1126,490
1127,490
1128,490
1129,494
1130,494
1131,494
1132,494
1133,497
1134,497
1135,497
1136,497
1137,501
1138,501
1139,507
1140,507
1141,507
1142,511
1143,511
1144,512
1145,512
1146,512
1147,512
1148,516
1149,516
1150,516
1151,516
1152,522
1153,522
1154,522
1155,522
1156,526
1157,526
1158,526
1159,529
1160,529
1161,533
1162,533
1163,539
1164,533
1165,539
1166,539
1167,539
1168,539
1169,543
1170,543
1171,543
1172,543
1173,544
1174,544
1175,548
1176,548
1177,554
1178,554
1179,554
1180,558
1181,558
1182,558
1183,558
1184,558
1185,558
1186,561
1187,561
1188,565
1189,565
1190,571
1191,571
1192,571
1193,571
1194,571
1195,575
1196,575
1197,576
1198,576
1199,576
1200,576
1201,580
1202,580
1203,580
1204,580
1205,586
1206,586
1207,586
1208,586
1209,590
1210,590
1211,593
1212,593
1213,593
1214,597
1215,597
1216,597
1217,603
1218,603
1219,603
1220,603
1221,607
1222,607
1223,607
1224,607
1225,608
1226,608
1227,608
1228,608
1229,612
1230,612
1231,612
1232,618
1233,618
1234,618
1235,618
1236,622
1237,622
1238,622
1239,622
1240,625
1241,625
1242,625
1243,625
1244,629
1245,629
1246,629
1247,635
1248,635
1249,635
1250,635
1251,639
1252,639
1253,639
1254,639
1255,640
1256,640
1257,640
1258,640
1259,644
1260,644
1261,644
1262,644
1263,650
1264,650
1265,650
1266,650
1267,650
1268,654
1269,654
1270,657
1271,657
1272,657
1273,657
1274,661
1275,661
1276,661
1277,661
1278,661
1279,661
1280,667
1281,671
1282,671
1283,671
1284,671
1285,671
1286,671
1287,672
1288,672
1289,672
1290,672
1291,676
1292,676
1293,676
1294,676
1295,682
1296,682
1297,682
1298,686
1299,686
1300,686
1301,686
1302,689
1303,686
1304,689
1305,689
1306,689
1307,689
1308,693
1309,693
1310,693
1311,693
1312,699
1313,699
1314,699
1315,699
1316,699
1317,703
1318,703
1319,703
1320,703
1321,703
1322,703
1323,704
1324,704
1325,704
1326,704
1327,708
1328,704
1329,708
1330,708
1331,708
1332,714
1333,714
1334,714
1335,714
1336,714
1337,714
1338,718
1339,718
1340,718
1341,718
1342,721
1343,721
1344,721
1345,721
1346,721
1347,721
1348,721
1349,725
1350,725
1351,725
1352,725
1353,731
1354,731
1355,731
1356,731
1357,735
1358,735
1359,735
1360,735
1361,735
1362,735
1363,735
1364,735
1365,736
1366,736
1367,736
1368,740
1369,740
1370,740
1371,740
1372,740
1373,740
1374,740
1375,740
1376,746
1377,746
1378,746
1379,746
1380,746
1381,746
1382,750
1383,750
1384,750
1385,750
1386,750
1387,750
1388,750
1389,753
1390,753
1391,753
1392,753
1393,753
1394,753
1395,757
1396,757
1397,757
1398,757
1399,757
1400,757
1401,757
1402,763
1403,763
1404,763
1405,763
1406,763
1407,763
1408,763
1409,767
1410,767
1411,767
1412,767
1413,767
1414,767
1415,767
1416,767
1417,768
1418,768
1419,768
1420,768
1421,768
1422,768
1423,768
1424,768
1425,772
1426,772
1427,772
1428,772
1429,772
1430,772
1431,772
1432,772
1433,772
1434,772
1435,772
1436,778
1437,778
1438,778
1439,778
1440,778
1441,778
1442,778
1443,778
1444,782
1445,782
1446,782
1447,782
1448,782
1449,782
1450,782
1451,782
1452,782
1453,782
1454,782
1455,782
1456,782
1457,785
1458,785
1459,785
1460,785
1461,785
1462,785
1463,785
1464,785
1465,785
1466,785
1467,785
1468,789
1469,789
1470,789
1471,789
1472,789
1473,789
1474,789
1475,789
1476,789
1477,789
1478,789
1479,789
1480,789
1481,789
1482,795
1483,795
1484,795
1485,795
1486,795
1487,795
1488,795
1489,795
1490,795
1491,795
1492,795
1493,795
1494,795
1495,795
1496,795
1497,799
1498,799
1499,795
1500,799
1501,795
1502,795
1503,795
1504,795
1505,799
1506,795
1507,795
1508,799
1509,799
1510,799
1511,799
1512,799
1513,799
1514,799
1515,799
1516,799
1517,799
1518,799
1519,799
1520,799
1521,799
1522,799
1523,799
1524,799
1525,799
1526,799
1527,799
1528,799
1529,799
1530,799
1531,799
1532,799
1533,799
1534,799
1535,799
1536,799
1537,799
1538,799
1539,799
1540,799
1541,799
1542,799
1543,799
1544,799
1545,799
1546,799
1547,799
1548,799
1549,799
1550,799
1551,799
1552,799
1553,799
1554,799
1555,799
1556,799
1557,799
1558,795
1559,795
1560,799
1561,795
1562,799
1563,799
1564,799
1565,799
1566,799
1567,795
1568,795
1569,795
1570,795
1571,795
1572,795
1573,795
1574,795
1575,795
1576,795
1577,795
1578,795
1579,795
1580,795
1581,795
1582,795
1583,795
1584,795
1585,789
1586,789
1587,789
1588,789
1589,789
1590,789
1591,789
1592,789
1593,789
1594,789
1595,789
1596,789
1597,789
1598,785
1599,785
1600,785
1601,785
1602,785
1603,785
1604,785
1605,785
1606,785
1607,785
1608,785
1609,782
1610,782
1611,782
1612,782
1613,782
1614,782
1615,782
1616,782
1617,782
1618,782
1619,782
1620,782
1621,782
1622,782
1623,778
1624,778
1625,778
1626,778
1627,778
1628,778
1629,778
1630,772
1631,772
1632,772
1633,772
1634,772
1635,772
1636,772
1637,772
1638,772
1639,772
1640,772
1641,768
1642,768
1643,768
1644,768
1645,768
1646,768
1647,768
1648,768
1649,767
1650,767
1651,767
1652,767
1653,767
1654,767
1655,763
1656,767
1657,767
1658,767
1659,763
1660,763
1661,763
1662,763
1663,763
1664,757
1665,757
1666,757
1667,757
1668,757
1669,757
1670,757
1671,757
1672,753
1673,753
1674,753
1675,753
1676,753
1677,750
1678,750
1679,750
1680,750
1681,750
1682,750
1683,746
1684,750
1685,746
1686,746
1687,746
1688,746
1689,746
1690,746
1691,740
1692,740
1693,740
1694,740
1695,740
1696,740
1697,740
1698,736
1699,736
1700,736
1701,736
1702,735
1703,735
1704,735
1705,735
1706,735
1707,735
1708,731
1709,731
1710,731
1711,731
1712,731
1713,725
1714,725
1715,725
1716,725
1717,721
1718,721
1719,721
1720,721
1721,721
1722,721
1723,721
1724,718
1725,718
1726,718
1727,718
1728,714
1729,718
1730,714
1731,714
1732,714
1733,714
1734,708
1735,708
1736,708
1737,708
1738,704
1739,704
1740,704
1741,704
1742,704
1743,703
1744,703
1745,703
1746,703
1747,699
1748,699
1749,699
1750,699
1751,699
1752,699
1753,699
1754,699
1755,693
1756,693
1757,693
1758,689
1759,689
1760,689
1761,689
1762,686
1763,686
1764,686
1765,686
1766,686
1767,686
1768,682
1769,682
1770,682
1771,682
1772,676
1773,676
1774,676
1775,672
1776,672
1777,672
1778,672
1779,671
1780,672
1781,671
1782,671
1783,671
1784,671
1785,667
1786,667
1787,661
1788,661
1789,661
1790,661
1791,661
1792,657
1793,657
1794,657
1795,657
1796,654
1797,654
1798,654
1799,650
1800,650
1801,650
1802,650
1803,644
1804,644
1805,644
1806,644
1807,640
1808,640
1809,640
1810,640
1811,639
1812,640
1813,639
1814,639
1815,635
1816,635
1817,635
1818,629
1819,629
1820,629
1821,629
1822,625
1823,625
1824,625
1825,625
1826,622
1827,622
1828,622
1829,622
1830,618
1831,618
1832,618
1833,612
1834,618
1835,612
1836,612
1837,608
1838,608
1839,608
1840,608
1841,607
1842,607
1843,607
1844,607
1845,603
1846,603
1847,603
1848,603
1849,597
1850,597
1851,597
1852,593
1853,593
1854,593
1855,593
1856,590
1857,590
1858,590
1859,590
1860,586
1861,586
1862,580
1863,580
1864,580
1865,580
1866,576
1867,576
1868,576
1869,575
1870,575
1871,571
1872,571
1873,571
1874,571
1875,571
1876,571
1877,565
1878,565
1879,561
1880,561
1881,561
1882,561
1883,558
1884,558
1885,558
1886,554
1887,554
1888,554
1889,554
1890,548
1891,548
1892,544
1893,544
1894,543
1895,544
1896,543
1897,543
1898,539
1899,539
1900,539
1901,539
1902,539
1903,539
1904,533
1905,529
1906,529
1907,526
1908,529
1909,526
1910,526
1911,522
1912,522
1913,522
1914,522
1915,516
1916,516
1917,516
1918,516
1919,512
1920,512
1921,512
1922,512
1923,511
1924,507
1925,507
1926,507
1927,507
1928,501
1929,501
1930,501
1931,497
1932,497
1933,497
1934,494
1935,494
1936,494
1937,494
1938,490
1939,490
1940,490
1941,484
1942,484
1943,484
1944,484
1945,480
1946,480
1947,480
1948,480
1949,479
1950,479
1951,475
1952,475
1953,469
1954,469
1955,469
1956,469
1957,465
1958,465
1959,462
1960,462
1961,462
1962,458
1963,458
1964,458
1965,458
1966,452
1967,452
1968,452
1969,452
1970,448
1971,448
1972,447
1973,447
1974,447
1975,443
1976,443
1977,443
1978,443
1979,437
1980,437
1981,433
1982,433
1983,433
1984,430
1985,430
1986,426
1987,426
1988,426
1989,426
1990,420
1991,420
1992,416
1993,416
1994,416
1995,415
1996,415
1997,415
1998,415
1999,411
2000,411
2001,405
2002,405
2003,405
2004,405
2005,401
2006,401
2007,401
2008,401
2009,398
2010,398
2011,398
2012,398
2013,394
2014,394
2015,394
2016,394
2017,394
2018,388
2019,388
2020,388
2021,388
2022,384
2023,384
2024,383
2025,384
2026,383
2027,383
2028,379
2029,379
2030,373
2031,373
2032,373
2033,369
2034,369
2035,369
2036,366
2037,366
2038,366
2039,362
2040,362
2041,362
2042,362
2043,356
2044,356
2045,352
2046,352
2047,352
2048,352
2049,351
2050,351
2051,351
2052,347
2053,347
2054,341
2055,341
2056,341
2057,341
2058,337
2059,337
2060,334
2061,334
2062,334
2063,334
2064,330
2065,330
2066,324
2067,324
2068,324
2069,320
2070,320
2071,320
2072,320
2073,319
2074,319
2075,319
2076,319
2077,315
2078,315
2079,309
2080,309
2081,309
2082,309
2083,305
2084,305
2085,302
2086,302
2087,302
2088,298
2089,298
2090,292
2091,292
2092,292
2093,292
2094,292
2095,292
2096,288
2097,288
2098,287
2099,287
2100,287
2101,287
2102,283
2103,283
2104,283
2105,277
2106,277
2107,277
2108,273
2109,273
2110,273
2111,270
2112,270
2113,266
2114,266
2115,266
2116,266
2117,260
2118,260
2119,260
2120,260
2121,256
2122,256
2123,256
2124,255
2125,255
2126,251
2127,251
2128,251
2129,251
2130,245
2131,245
2132,245
2133,245
2134,241
2135,241
2136,241
2137,241
2138,238
2139,238
2140,238
2141,234
2142,234
2143,228
2144,234
2145,228
2146,228
2147,224
2148,224
2149,224
2150,224
2151,223
2152,223
2153,223
2154,223
2155,219
2156,219
2157,213
2158,213
2159,213
2160,209
2161,209
2162,209
2163,209
2164,206
2165,206
2166,206
2167,206
2168,202
2169,202
2170,202
2171,202
2172,196
2173,196
2174,192
2175,192
2176,192
2177,192
2178,192
2179,191
2180,191
2181,191
2182,191
2183,187
2184,187
2185,181
2186,181
2187,181
2188,181
2189,181
2190,181
2191,177
2192,174
2193,174
2194,174
2195,174
2196,170
2197,170
2198,170
2199,170
2200,170
2201,164
2202,164
2203,164
2204,160
2205,160
2206,160
2207,160
2208,160
2209,159
2210,159
2211,155
2212,155
2213,155
2214,155
2215,155
2216,149
2217,149
2218,149
2219,145
2220,145
2221,145
2222,145
2223,145
2224,145
2225,142
2226,138
2227,138
2228,138
2229,138
2230,138
2231,138
2232,132
2233,132
2234,128
2235,128
2236,128
2237,128
2238,128
2239,128
2240,127
2241,127
2242,127
2243,127
2244,123
2245,123
2246,123
2247,117
2248,117
2249,117
2250,117
2251,113
2252,113
2253,113
2254,113
2255,113
2256,113
2257,110
2258,110
2259,110
2260,106
2261,106
2262,106
2263,106
2264,100
2265,100
2266,100
2267,100
2268,100
2269,100
2270,96
2271,96
2272,96
2273,96
2274,95
2275,95
2276,95
2277,95
2278,95
2279,91
2280,91
2281,91
2282,91
2283,91
2284,91
2285,85
2286,85
2287,85
2288,85
2289,85
2290,85
2291,81
2292,81
2293,81
2294,81
2295,78
2296,78
2297,78
2298,74
2299,74
2300,74
2301,74
2302,74
2303,74
2304,68
2305,68
2306,68
2307,68
2308,68
2309,68
2310,64
2311,64
2312,64
2313,64
2314,64
2315,63
2316,63
2317,63
2318,63
2319,63
2320,63
2321,59
2322,59
2323,59
2324,59
2325,53
2326,53
2327,53
2328,53
2329,53
2330,53
2331,53
